Ticker symbol,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",10/7/08,1418135
DTE,DTE Energy Co.,Utilities,MultiUtilities,"Detroit, Michigan",,936340
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",,30554
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/76,1326160
DNB,Dun & Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",12/2/08,1115222
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",3/31/04,1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",,1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/89,31462
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,"Irvine, California",4/1/11,1099800
EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",,712515
EMC,EMC Corp.,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",,790070
EMR,Emerson Electric Company,Industrials,Industrial Conglomerates,"Ferguson, Missouri",3/31/65,32604
ENDP,Endo International,Health Care,Pharmaceuticals,"Dublin, Ireland",1/27/15,1100962
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",12/19/08,33213
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",,33185
EQIX,Equinix,Information Technology,Internet Software & Services,"Redwood City, California",3/20/15,1101239
EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",,906107
ESS,Essex Property Trust Inc,Financials,Residential REITs,"Palo Alto, California",4/2/14,920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",,1001250
ES,Eversource Energy,Utilities,MultiUtilities,"Springfield, Massachusetts",,72741
EXC,Exelon Corp.,Utilities,MultiUtilities,"Chicago, Illinois",,1109357
EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",10/2/07,1324424
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",,1532063
EXR,Extra Space Storage,Financials,Specialized REITs,"Salt Lake City, UT",1/19/16,1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",12/20/10,1048695
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",12/23/13,1326801
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",9/15/09,815556
FRT,Federal Realty Investment Trust,Financials,Retail REITs,"Rockville, Maryland",2/1/16,34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/80,1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",,35527
FSLR,First Solar Inc,Information Technology,Semiconductors,"Tempe, Arizona",10/16/09,1274494
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",,798354
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",1/2/09,354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",10/2/08,30625
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",3/31/80,1124198
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",8/19/09,37785
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",6/5/09,1135152
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",4/4/16,850209
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/16,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",6/22/16,1519751
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777
FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona",,831259
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",,20520
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/86,39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/12,1121788
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",,40545
GGP,General Growth Properties Inc.,Financials,REITs,"Chicago, Illinois",12/10/13,895648
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/69,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/13,1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/73,40987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",,882095
GPN,Global Payments Inc,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",4/25/16,1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",6/30/81,277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/15,1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",,800459
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",9/22/08,202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/84,46080
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/15,860730
HCP,HCP Inc.,Financials,REITs,"Long Beach, California",3/31/08,765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",,46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/84,4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/15,1645590
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",,773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,48465
HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland",3/20/07,1070750
HPQ,HP Inc.,Information Technology,Computer Hardware,"Palo Alto, California",12/31/74,47217
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",,49196
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,49826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/15,1110803
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",11/17/10,1466258
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863
ICE,Intercontinental Exchange,Financials,Diversified Financial Services,"Atlanta, Georgia",9/26/07,1571949
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York",,51143
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",,51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",10/1/92,51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/76,51253
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",12/5/00,896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California",6/2/08,1035267
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",1/6/09,1020569
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",10/26/07,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",6/30/73,200406
JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",5/31/86,53669
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",6/30/75,19617
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",3/1/94,91576
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",,879101
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/25/12,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/12,1545158
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,701985
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549
LM,Legg Mason,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,704051
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",,58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",,920760
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",11/5/14,794323
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",8/27/07,96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",,791907
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",,60086
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",9/5/12,1489393
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",,36270
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",5/9/13,912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MNK,Mallinckrodt Plc,Health Care,Pharmaceuticals,"Dublin, Ireland",8/19/14,1567892
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",7/1/11,1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/87,62709
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/81,62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",7/18/08,1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/82,63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/70,63908
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",,927653
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",12/21/09,1452575
WRK,Westrock Co,Materials,Paper Packaging,"Richmond, Virginia",,1636023
MDT,Medtronic plc,Health Care,Health Care Equipment & Services,"Dublin, Ireland",10/31/86,64670
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219
KORS,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/13,1530721
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",9/7/07,827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/94,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/94,789019
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",12/23/13,851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/76,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/12,1103982
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",,1110783
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/12,865752
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",,1059556
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",9/26/11,1285785
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",,68505
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",,717423
MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",,69499
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",10/22/08,1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1021860
NAVI,Navient,Financials,Consumer Finance,"Newark, Delaware",5/1/14,1593538
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",,1002047
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",12/20/10,1065280
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/89,814453
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/20/10,912750
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",6/30/69,1164727
NWSA,News Corp. Class A,Consumer Discretionary,Publishing,"New York, New York",8/1/13,1564708
NWS,News Corp. Class B,Consumer Discretionary,Publishing,"New York, New York",8/1/13,1564708
NEE,NextEra Energy,Utilities,MultiUtilities,"Juno Beach, Florida",6/30/76,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/9/13,1492633
NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187
NI,NiSource Inc.,Utilities,MultiUtilities,"Merrillville, Indiana",,1111711
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",10/8/07,72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/86,72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/85,1133421
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",1/29/10,1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",4/30/85,73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",,1045810
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/09,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/82,797468
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",,29989
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",3/15/10,1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",8/31/89,1341439
OI,Owens-Illinois Inc,Materials,Metal & Glass Containers,"Perrysburg, Ohio",1/2/09,812074
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",12/31/80,75362
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",11/30/85,76334
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",,891024
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Worsley, UK",10/1/12,77360
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/08,1378946
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",5/31/85,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/11,1585364
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003
PCG,PG&E Corp.,Utilities,MultiUtilities,"San Francisco, California",,1004980
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",3/31/08,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/1/12,1534701
PNW,Pinnacle West Capital,Utilities,MultiUtilities,"Phoenix, Arizona",,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/08,1038357
PBI,Pitney-Bowes,Industrials,"Technology, Hardware, Software and Supplies","Stamford, Connecticut",,78814
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",4/30/88,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/07,1037038
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",,79879
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",7/1/92,884905
CFG,Citizens Financial Group,Financials,Banks,"Providence, Rhode Island",1/29/16,759944
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",11/6/09,1075531
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424
